player_slot,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,backpack_0,backpack_1,backpack_2,item_neutral,kills,deaths,assists,leaver_status,last_hits,denies,gold_per_min,xp_per_min,level,won,match_id,hero_damage,tower_damage,hero_healing,gold,gold_spent,scaled_hero_damage,scaled_tower_damage,scaled_hero_healing,ability_upgrades,additional_units,match_id_int
131.0,21.0,123.0,48.0,88.0,135.0,94.0,108.0,0.0,0.0,325.0,308.0,6.0,3.0,15.0,0.0,167.0,15.0,432.0,611.0,27.0,1.0,5509318656.0,,,,,,,,,,,5509318656
131.0,42.0,151.0,63.0,12.0,8.0,73.0,21.0,0.0,16.0,11.0,334.0,2.0,10.0,11.0,0.0,114.0,11.0,285.0,405.0,17.0,False,5618616321.0,7812.0,558.0,1314.0,415.0,8160.0,4850.0,220.0,602.0,"[{'ability': 5086, 'time': 228, 'level': 1}, {'ability': 5087, 'time': 333, 'level': 2}, {'ability': 5088, 'time': 450, 'level': 3}, {'ability': 5088, 'time': 564, 'level': 4}, {'ability': 5088, 'time': 678, 'level': 5}, {'ability': 5089, 'time': 814, 'level': 6}, {'ability': 5088, 'time': 858, 'level': 7}, {'ability': 5087, 'time': 925, 'level': 8}, {'ability': 5087, 'time': 1048, 'level': 9}, {'ability': 5087, 'time': 1213, 'level': 10}, {'ability': 6119, 'time': 1272, 'level': 11}, {'ability': 5089, 'time': 1444, 'level': 12}, {'ability': 5086, 'time': 1499, 'level': 13}, {'ability': 5086, 'time': 1672, 'level': 14}, {'ability': 5928, 'time': 1778, 'level': 15}, {'ability': 5086, 'time': 2048, 'level': 16}]",,5618616321
1.0,96.0,50.0,127.0,244.0,125.0,73.0,114.0,0.0,0.0,0.0,308.0,5.0,8.0,14.0,0.0,152.0,6.0,418.0,582.0,22.0,1.0,5433892867.0,,,,,,,,,,,5433892867
128.0,42.0,50.0,249.0,36.0,73.0,168.0,43.0,0.0,11.0,0.0,375.0,7.0,4.0,10.0,0.0,204.0,16.0,529.0,709.0,23.0,True,5562183685.0,13355.0,10637.0,1685.0,5906.0,13165.0,10024.0,4919.0,673.0,"[{'ability': 5086, 'time': 200, 'level': 1}, {'ability': 5087, 'time': 305, 'level': 2}, {'ability': 5088, 'time': 410, 'level': 3}, {'ability': 5088, 'time': 497, 'level': 4}, {'ability': 5088, 'time': 628, 'level': 5}, {'ability': 5089, 'time': 801, 'level': 6}, {'ability': 5088, 'time': 871, 'level': 7}, {'ability': 5087, 'time': 890, 'level': 8}, {'ability': 5087, 'time': 1069, 'level': 9}, {'ability': 6119, 'time': 1146, 'level': 10}, {'ability': 5087, 'time': 1242, 'level': 11}, {'ability': 5089, 'time': 1334, 'level': 12}, {'ability': 5086, 'time': 1400, 'level': 13}, {'ability': 5086, 'time': 1584, 'level': 14}, {'ability': 5928, 'time': 1681, 'level': 15}, {'ability': 5086, 'time': 1749, 'level': 16}, {'ability': 5089, 'time': 1879, 'level': 17}, {'ability': 6201, 'time': 2092, 'level': 18}]",,5562183685
128.0,53.0,98.0,50.0,218.0,81.0,188.0,24.0,0.0,0.0,0.0,349.0,5.0,10.0,21.0,0.0,185.0,7.0,381.0,621.0,24.0,0.0,5439432709.0,,,,,,,,,,,5439432709
130.0,91.0,42.0,36.0,79.0,0.0,180.0,0.0,0.0,0.0,0.0,349.0,0.0,9.0,15.0,0.0,6.0,2.0,157.0,345.0,14.0,0.0,5492226055.0,,,,,,,,,,,5492226055
3.0,40.0,102.0,88.0,214.0,57.0,24.0,40.0,0.0,0.0,0.0,335.0,3.0,10.0,9.0,0.0,136.0,6.0,281.0,418.0,19.0,0.0,5451204616.0,,,,,,,,,,,5451204616
3.0,37.0,254.0,180.0,39.0,36.0,218.0,0.0,0.0,0.0,0.0,356.0,1.0,5.0,11.0,0.0,33.0,5.0,197.0,285.0,13.0,0.0,5385199625.0,,,,,,,,,,,5385199625
128.0,41.0,172.0,249.0,75.0,116.0,63.0,166.0,216.0,0.0,0.0,377.0,8.0,8.0,13.0,0.0,259.0,29.0,437.0,623.0,24.0,0.0,5423265803.0,,,,,,,,,,,5423265803
1.0,53.0,250.0,214.0,81.0,77.0,34.0,240.0,44.0,0.0,0.0,289.0,2.0,4.0,13.0,0.0,176.0,4.0,405.0,449.0,19.0,1.0,5489330191.0,,,,,,,,,,,5489330191
