player_slot,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,backpack_0,backpack_1,backpack_2,item_neutral,kills,deaths,assists,leaver_status,last_hits,denies,gold_per_min,xp_per_min,level,hero_damage,tower_damage,hero_healing,gold,gold_spent,scaled_hero_damage,scaled_tower_damage,scaled_hero_healing,ability_upgrades,won,match_id,custom_game,additional_units,match_id_int
1.0,96.0,50.0,127.0,244.0,125.0,73.0,114.0,0.0,0.0,0.0,308.0,5.0,8.0,14.0,0.0,152.0,6.0,418.0,582.0,22.0,27217.0,6650.0,0.0,3172.0,12860.0,15341.0,2511.0,0.0,"[{'ability': 5516, 'time': 232, 'level': 1}, {'ability': 5514, 'time': 364, 'level': 2}, {'ability': 5516, 'time': 449, 'level': 3}, {'ability': 5515, 'time': 564, 'level': 4}, {'ability': 5516, 'time': 665, 'level': 5}, {'ability': 5517, 'time': 773, 'level': 6}, {'ability': 5515, 'time': 908, 'level': 7}, {'ability': 5516, 'time': 1054, 'level': 8}, {'ability': 5515, 'time': 1147, 'level': 9}, {'ability': 5917, 'time': 1272, 'level': 10}, {'ability': 5515, 'time': 1335, 'level': 11}, {'ability': 5517, 'time': 1457, 'level': 12}, {'ability': 5514, 'time': 1529, 'level': 13}, {'ability': 5514, 'time': 1665, 'level': 14}, {'ability': 6617, 'time': 1736, 'level': 15}, {'ability': 5514, 'time': 1782, 'level': 16}, {'ability': 5517, 'time': 2050, 'level': 17}, {'ability': 453, 'time': 2185, 'level': 18}]",True,5433892867.0,,,5433892867
128.0,53.0,98.0,50.0,218.0,81.0,188.0,24.0,0.0,0.0,0.0,349.0,5.0,10.0,21.0,0.0,185.0,7.0,381.0,621.0,24.0,23205.0,1362.0,2178.0,649.0,13090.0,13034.0,560.0,751.0,"[{'ability': 5247, 'time': 147, 'level': 1}, {'ability': 5246, 'time': 329, 'level': 2}, {'ability': 5247, 'time': 447, 'level': 3}, {'ability': 5245, 'time': 576, 'level': 4}, {'ability': 5247, 'time': 625, 'level': 5}, {'ability': 5248, 'time': 708, 'level': 6}, {'ability': 5246, 'time': 850, 'level': 7}, {'ability': 5247, 'time': 917, 'level': 8}, {'ability': 5246, 'time': 1070, 'level': 9}, {'ability': 6009, 'time': 1335, 'level': 10}, {'ability': 5246, 'time': 1390, 'level': 11}, {'ability': 5248, 'time': 1488, 'level': 12}, {'ability': 5245, 'time': 1598, 'level': 13}, {'ability': 5245, 'time': 1973, 'level': 14}, {'ability': 5934, 'time': 2035, 'level': 15}, {'ability': 5245, 'time': 2112, 'level': 16}, {'ability': 5248, 'time': 2358, 'level': 17}, {'ability': 5952, 'time': 2466, 'level': 18}]",False,5439432709.0,,,5439432709
3.0,40.0,102.0,88.0,214.0,57.0,24.0,40.0,0.0,0.0,0.0,335.0,3.0,10.0,9.0,0.0,136.0,6.0,281.0,418.0,19.0,26120.0,73.0,0.0,2457.0,8220.0,16289.0,24.0,0.0,"[{'ability': 5179, 'time': 176, 'level': 1}, {'ability': 5178, 'time': 303, 'level': 2}, {'ability': 5179, 'time': 357, 'level': 3}, {'ability': 5178, 'time': 519, 'level': 4}, {'ability': 5179, 'time': 615, 'level': 5}, {'ability': 5181, 'time': 778, 'level': 6}, {'ability': 5180, 'time': 923, 'level': 7}, {'ability': 5180, 'time': 1071, 'level': 8}, {'ability': 5180, 'time': 1104, 'level': 9}, {'ability': 5179, 'time': 1292, 'level': 10}, {'ability': 416, 'time': 1378, 'level': 11}, {'ability': 5181, 'time': 1455, 'level': 12}, {'ability': 5180, 'time': 1467, 'level': 13}, {'ability': 5178, 'time': 1638, 'level': 14}, {'ability': 6981, 'time': 1694, 'level': 15}, {'ability': 5178, 'time': 1814, 'level': 16}, {'ability': 5181, 'time': 2259, 'level': 17}]",False,5451204616.0,,,5451204616
3.0,37.0,254.0,180.0,39.0,36.0,218.0,0.0,0.0,0.0,0.0,356.0,1.0,5.0,11.0,0.0,33.0,5.0,197.0,285.0,13.0,11299.0,0.0,6255.0,1053.0,4640.0,6028.0,0.0,4386.0,"[{'ability': 5164, 'time': 235, 'level': 1}, {'ability': 5163, 'time': 333, 'level': 2}, {'ability': 5164, 'time': 458, 'level': 3}, {'ability': 5163, 'time': 597, 'level': 4}, {'ability': 5163, 'time': 848, 'level': 5}, {'ability': 5165, 'time': 960, 'level': 6}, {'ability': 5162, 'time': 1121, 'level': 7}, {'ability': 5163, 'time': 1269, 'level': 8}, {'ability': 5164, 'time': 1400, 'level': 9}, {'ability': 5162, 'time': 1607, 'level': 10}, {'ability': 5162, 'time': 1849, 'level': 11}, {'ability': 5165, 'time': 1860, 'level': 12}, {'ability': 5162, 'time': 2064, 'level': 13}]",False,5385199625.0,,,5385199625
2.0,105.0,100.0,335.0,214.0,218.0,250.0,108.0,336.0,178.0,0.0,0.0,6.0,4.0,8.0,0.0,176.0,1.0,432.0,584.0,24.0,,,,,,,,,,1.0,5164103689.0,,,5164103689
128.0,41.0,172.0,249.0,75.0,116.0,63.0,166.0,216.0,0.0,0.0,377.0,8.0,8.0,13.0,0.0,259.0,29.0,437.0,623.0,24.0,17054.0,581.0,0.0,932.0,17005.0,11078.0,336.0,0.0,"[{'ability': 5184, 'time': 256, 'level': 1}, {'ability': 5182, 'time': 322, 'level': 2}, {'ability': 5184, 'time': 409, 'level': 3}, {'ability': 5182, 'time': 445, 'level': 4}, {'ability': 5184, 'time': 560, 'level': 5}, {'ability': 5185, 'time': 645, 'level': 6}, {'ability': 5184, 'time': 772, 'level': 7}, {'ability': 5182, 'time': 852, 'level': 8}, {'ability': 5182, 'time': 984, 'level': 9}, {'ability': 5691, 'time': 1081, 'level': 10}, {'ability': 6159, 'time': 1190, 'level': 11}, {'ability': 5185, 'time': 1348, 'level': 12}, {'ability': 5691, 'time': 1493, 'level': 13}, {'ability': 5691, 'time': 1590, 'level': 14}, {'ability': 6807, 'time': 1751, 'level': 15}, {'ability': 5691, 'time': 1851, 'level': 16}, {'ability': 5185, 'time': 2139, 'level': 17}, {'ability': 6128, 'time': 2364, 'level': 18}]",False,5423265803.0,,,5423265803
3.0,26.0,256.0,218.0,214.0,30.0,254.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,20.0,0.0,54.0,5.0,328.0,596.0,25.0,,,,,,,,,,1.0,5016424459.0,,,5016424459
0.0,45.0,232.0,77.0,218.0,180.0,123.0,40.0,0.0,0.0,0.0,0.0,4.0,16.0,13.0,0.0,110.0,2.0,368.0,512.0,24.0,,,,,,,,,,0.0,4905732107.0,,,4905732107
1.0,36.0,244.0,269.0,216.0,216.0,218.0,231.0,0.0,0.0,0.0,375.0,7.0,8.0,19.0,0.0,94.0,7.0,362.0,587.0,24.0,,,,,,,,,,0.0,5282496526.0,,,5282496526
0.0,53.0,250.0,43.0,29.0,81.0,79.0,164.0,0.0,0.0,240.0,363.0,3.0,8.0,16.0,0.0,222.0,16.0,451.0,592.0,24.0,16105.0,4130.0,2672.0,1936.0,18660.0,8906.0,1995.0,995.0,"[{'ability': 5247, 'time': 227, 'level': 1}, {'ability': 5245, 'time': 351, 'level': 2}, {'ability': 5247, 'time': 496, 'level': 3}, {'ability': 5246, 'time': 610, 'level': 4}, {'ability': 5246, 'time': 787, 'level': 5}, {'ability': 5248, 'time': 844, 'level': 6}, {'ability': 5246, 'time': 960, 'level': 7}, {'ability': 5246, 'time': 998, 'level': 8}, {'ability': 5247, 'time': 1139, 'level': 9}, {'ability': 470, 'time': 1272, 'level': 10}, {'ability': 5247, 'time': 1405, 'level': 11}, {'ability': 5248, 'time': 1601, 'level': 12}, {'ability': 5245, 'time': 1626, 'level': 13}, {'ability': 5245, 'time': 1974, 'level': 14}, {'ability': 5934, 'time': 2057, 'level': 15}, {'ability': 5245, 'time': 2120, 'level': 16}, {'ability': 5248, 'time': 2168, 'level': 17}, {'ability': 5952, 'time': 2736, 'level': 18}]",True,5425158159.0,,,5425158159
