,player_slot,hero_id,kills,deaths,assists,last_hits,denies,gold_per_min,xp_per_min,level,hero_damage,tower_damage,hero_healing,gold,gold_spent,scaled_hero_damage,scaled_tower_damage,scaled_hero_healing,won,match_id,match_id_int
0,1.0,96.0,5.0,8.0,14.0,152.0,6.0,418.0,582.0,22.0,27217.0,6650.0,0.0,3172.0,12860.0,15341.0,2511.0,0.0,1,5433892867.0,5433892867
1,128.0,53.0,5.0,10.0,21.0,185.0,7.0,381.0,621.0,24.0,23205.0,1362.0,2178.0,649.0,13090.0,13034.0,560.0,751.0,0,5439432709.0,5439432709
2,3.0,40.0,3.0,10.0,9.0,136.0,6.0,281.0,418.0,19.0,26120.0,73.0,0.0,2457.0,8220.0,16289.0,24.0,0.0,0,5451204616.0,5451204616
3,3.0,37.0,1.0,5.0,11.0,33.0,5.0,197.0,285.0,13.0,11299.0,0.0,6255.0,1053.0,4640.0,6028.0,0.0,4386.0,0,5385199625.0,5385199625
4,2.0,105.0,6.0,4.0,8.0,176.0,1.0,432.0,584.0,24.0,,,,,,,,,1,5164103689.0,5164103689
5,128.0,41.0,8.0,8.0,13.0,259.0,29.0,437.0,623.0,24.0,17054.0,581.0,0.0,932.0,17005.0,11078.0,336.0,0.0,0,5423265803.0,5423265803
6,3.0,26.0,7.0,5.0,20.0,54.0,5.0,328.0,596.0,25.0,,,,,,,,,1,5016424459.0,5016424459
7,0.0,45.0,4.0,16.0,13.0,110.0,2.0,368.0,512.0,24.0,,,,,,,,,0,4905732107.0,4905732107
8,1.0,36.0,7.0,8.0,19.0,94.0,7.0,362.0,587.0,24.0,,,,,,,,,0,5282496526.0,5282496526
9,0.0,53.0,3.0,8.0,16.0,222.0,16.0,451.0,592.0,24.0,16105.0,4130.0,2672.0,1936.0,18660.0,8906.0,1995.0,995.0,1,5425158159.0,5425158159
10,4.0,64.0,5.0,12.0,28.0,107.0,3.0,354.0,557.0,26.0,25211.0,1591.0,5296.0,3917.0,13470.0,14634.0,635.0,1618.0,1,5454489621.0,5454489621
11,128.0,62.0,2.0,10.0,10.0,9.0,3.0,211.0,258.0,13.0,8786.0,0.0,0.0,865.0,6000.0,6414.0,0.0,0.0,0,5424922647.0,5424922647
12,3.0,69.0,6.0,10.0,13.0,66.0,4.0,384.0,588.0,25.0,,,,,,,,,1,5133856794.0,5133856794
14,4.0,26.0,2.0,5.0,17.0,46.0,4.0,305.0,407.0,17.0,,,,,,,,,1,5092796447.0,5092796447
15,129.0,22.0,11.0,6.0,20.0,167.0,7.0,474.0,508.0,21.0,,,,,,,,,1,4898146346.0,4898146346
